"Entrez"	"symbol"	"name"	"is.skin.T7.DN"	"is.skin.T7.UP"	"is.skin.T14.DN"	"is.skin.T14.UP"	"is.muscle.DN"	"is.muscle.UP"
"100017"	"Ldlrap1"	"low density lipoprotein receptor adaptor protein 1"	NA	NA	NA	NA	NA	TRUE
"100037258"	"Dnajc3"	"DnaJ (Hsp40) homolog, subfamily C, member 3"	NA	NA	NA	NA	NA	TRUE
"100039528"	"1110002E22Rik"	"RIKEN cDNA 1110002E22 gene"	NA	NA	NA	NA	TRUE	NA
"100039795"	"Ildr2"	"immunoglobulin-like domain containing receptor 2"	NA	TRUE	NA	NA	NA	NA
"100041034"	"LOC100041034"	"similar to Sp110 nuclear body protein"	NA	TRUE	NA	NA	NA	NA
"100041194"	"Ahnak2"	"AHNAK nucleoprotein 2"	NA	NA	NA	NA	NA	TRUE
"100042807"	"Gm9781"	"predicted gene 9781"	NA	NA	TRUE	NA	NA	NA
"100043168"	"Gm14292"	"Wilms' tumour 1-associating protein pseudogene"	NA	NA	TRUE	NA	NA	NA
"100177"	"Zmym6"	"zinc finger, MYM-type 6"	NA	NA	TRUE	NA	NA	NA
"100273"	"Osbpl9"	"oxysterol binding protein-like 9"	NA	NA	TRUE	NA	NA	NA
"100383"	"Bsdc1"	"BSD domain containing 1"	NA	NA	NA	NA	NA	TRUE
"100470"	"Lao1"	"L-amino acid oxidase 1"	NA	NA	NA	TRUE	NA	NA
"100494"	"Zfand2a"	"zinc finger, AN1-type domain 2A"	NA	NA	NA	NA	NA	TRUE
"100678"	"Psph"	"phosphoserine phosphatase"	NA	NA	NA	NA	TRUE	NA
"100710"	"Pds5b"	"PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)"	NA	NA	TRUE	NA	NA	NA
"100929"	"Tyw1"	"tRNA-yW synthesizing protein 1 homolog (S. cerevisiae)"	NA	NA	NA	NA	NA	TRUE
"100952"	"Emilin1"	"elastin microfibril interfacer 1"	NA	TRUE	NA	NA	NA	NA
"100972"	"Rab28"	"RAB28, member RAS oncogene family"	NA	NA	TRUE	NA	TRUE	NA
"100986"	"Akap9"	"A kinase (PRKA) anchor protein (yotiao) 9"	NA	NA	TRUE	NA	NA	NA
"101490"	"Inpp5f"	"inositol polyphosphate-5-phosphatase F"	NA	NA	TRUE	NA	NA	NA
"101544"	"Zfp575"	"zinc finger protein 575"	NA	NA	NA	TRUE	NA	NA
"101568"	"Vrk3"	"vaccinia related kinase 3"	NA	NA	NA	NA	NA	TRUE
"101612"	"Grwd1"	"glutamate-rich WD repeat containing 1"	NA	NA	NA	NA	NA	TRUE
"101809"	"Spred3"	"sprouty-related, EVH1 domain containing 3"	NA	NA	NA	TRUE	NA	NA
"101943"	"Sf3b3"	"splicing factor 3b, subunit 3"	NA	NA	NA	NA	NA	TRUE
"102323"	"Dcun1d2"	"DCN1, defective in cullin neddylation 1, domain containing 2 (S. cerevisiae)"	NA	NA	NA	NA	TRUE	NA
"102334"	"Ankrd10"	"ankyrin repeat domain 10"	NA	NA	TRUE	NA	NA	TRUE
"102414"	"Clk3"	"CDC-like kinase 3"	NA	NA	NA	NA	TRUE	NA
"102545"	"Cmtm7"	"CKLF-like MARVEL transmembrane domain containing 7"	NA	TRUE	NA	NA	NA	NA
"102644"	"Oaf"	"OAF homolog (Drosophila)"	NA	TRUE	NA	NA	NA	NA
"102657"	"Cd276"	"CD276 antigen"	NA	TRUE	NA	NA	NA	NA
"102866"	"Pls3"	"plastin 3 (T-isoform)"	NA	NA	TRUE	NA	NA	NA
"103080"	"Sept10"	"septin 10"	NA	NA	TRUE	NA	NA	NA
"103172"	"Chchd10"	"coiled-coil-helix-coiled-coil-helix domain containing 10"	NA	NA	TRUE	NA	NA	NA
"103213"	"Traf3ip2"	"TRAF3 interacting protein 2"	NA	NA	TRUE	NA	NA	NA
"103554"	"Psme4"	"proteasome (prosome, macropain) activator subunit 4"	NA	NA	TRUE	NA	NA	NA
"103737"	"Pex12"	"peroxisomal biogenesis factor 12"	NA	NA	NA	NA	NA	TRUE
"103743"	"Tmem98"	"transmembrane protein 98"	NA	TRUE	NA	NA	NA	NA
"103841"	"Cuedc1"	"CUE domain containing 1"	NA	NA	NA	NA	TRUE	NA
"103963"	"Rpn1"	"ribophorin I"	NA	TRUE	NA	NA	NA	NA
"103988"	"Gck"	"glucokinase"	NA	NA	NA	NA	TRUE	NA
"104156"	"Etv5"	"ets variant gene 5"	NA	NA	NA	NA	TRUE	NA
"104158"	"Ces1d"	"carboxylesterase 1D"	NA	NA	NA	NA	TRUE	NA
"104184"	"Blmh"	"bleomycin hydrolase"	NA	NA	NA	NA	NA	TRUE
"104252"	"Cdc42ep2"	"CDC42 effector protein (Rho GTPase binding) 2"	NA	NA	NA	NA	TRUE	NA
"104263"	"Kdm3a"	"lysine (K)-specific demethylase 3A"	NA	NA	TRUE	NA	NA	NA
"104444"	"Rexo2"	"REX2, RNA exonuclease 2 homolog (S. cerevisiae)"	NA	NA	NA	NA	NA	TRUE
"104709"	"Pik3r6"	"phosphoinositide-3-kinase, regulatory subunit 6"	NA	NA	NA	NA	TRUE	NA
"104721"	"Ddx1"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 1"	NA	NA	TRUE	NA	NA	NA
"104725"	"1110002B05Rik"	"RIKEN cDNA 1110002B05 gene"	NA	NA	TRUE	NA	NA	NA
"104776"	"Aldh6a1"	"aldehyde dehydrogenase family 6, subfamily A1"	NA	NA	TRUE	NA	NA	NA
"104836"	"Cbll1"	"Casitas B-lineage lymphoma-like 1"	NA	NA	TRUE	NA	NA	NA
"104859"	"Tecpr2"	"tectonin beta-propeller repeat containing 2"	NA	NA	NA	NA	TRUE	NA
"104910"	"Slc25a47"	"solute carrier family 25, member 47"	NA	NA	NA	NA	TRUE	NA
"104923"	"Adi1"	"acireductone dioxygenase 1"	NA	NA	TRUE	NA	NA	NA
"105239"	"Rnf44"	"ring finger protein 44"	NA	NA	TRUE	NA	NA	NA
"105298"	"Epdr1"	"ependymin related protein 1 (zebrafish)"	NA	NA	NA	NA	TRUE	NA
"105349"	"Akr1c18"	"aldo-keto reductase family 1, member C18"	NA	TRUE	NA	NA	NA	NA
"105387"	"Akr1c14"	"aldo-keto reductase family 1, member C14"	NA	NA	NA	NA	TRUE	NA
"105428"	"Fam149b"	"family with sequence similarity 149, member B"	NA	NA	NA	NA	TRUE	NA
"105501"	"Abhd4"	"abhydrolase domain containing 4"	NA	NA	NA	NA	NA	TRUE
"105522"	"Ankrd28"	"ankyrin repeat domain 28"	NA	NA	TRUE	NA	TRUE	NA
"105675"	"Ppif"	"peptidylprolyl isomerase F (cyclophilin F)"	NA	NA	NA	NA	TRUE	NA
"105727"	"Slc38a1"	"solute carrier family 38, member 1"	NA	NA	NA	NA	NA	TRUE
"105855"	"Nckap1l"	"NCK associated protein 1 like"	NA	NA	NA	NA	NA	TRUE
"106014"	"Fam19a5"	"family with sequence similarity 19, member A5"	NA	NA	NA	NA	NA	TRUE
"106021"	"Topors"	"topoisomerase I binding, arginine/serine-rich"	NA	NA	TRUE	NA	NA	NA
"106052"	"Fbxo4"	"F-box protein 4"	NA	NA	NA	NA	NA	TRUE
"106064"	"AW549877"	"expressed sequence AW549877"	NA	NA	TRUE	NA	NA	NA
"106068"	"Slc45a4"	"solute carrier family 45, member 4"	NA	NA	NA	NA	TRUE	NA
"106143"	"Cggbp1"	"CGG triplet repeat binding protein 1"	NA	NA	NA	NA	NA	TRUE
"106205"	"Zc3h7a"	"zinc finger CCCH type containing 7 A"	NA	NA	TRUE	NA	NA	NA
"106393"	"Srl"	"sarcalumenin"	NA	NA	NA	NA	TRUE	NA
"106522"	"Pkdcc"	"protein kinase domain containing, cytoplasmic"	NA	NA	NA	NA	TRUE	NA
"106572"	"Rab31"	"RAB31, member RAS oncogene family"	NA	NA	NA	NA	NA	TRUE
"106869"	"Tnfaip8"	"tumor necrosis factor, alpha-induced protein 8"	NA	NA	TRUE	NA	NA	NA
"106878"	"2010002N04Rik"	"RIKEN cDNA 2010002N04 gene"	NA	TRUE	NA	TRUE	NA	TRUE
"106931"	"Kctd1"	"potassium channel tetramerisation domain containing 1"	NA	NA	NA	NA	NA	TRUE
"107029"	"Me2"	"malic enzyme 2, NAD(+)-dependent, mitochondrial"	NA	NA	NA	TRUE	NA	TRUE
"107045"	"Lars"	"leucyl-tRNA synthetase"	NA	NA	NA	NA	NA	TRUE
"107071"	"Wdr74"	"WD repeat domain 74"	NA	NA	NA	NA	NA	TRUE
"107272"	"Psat1"	"phosphoserine aminotransferase 1"	NA	NA	NA	NA	NA	TRUE
"107321"	"Lpxn"	"leupaxin"	NA	NA	NA	NA	NA	TRUE
"107328"	"Trpt1"	"tRNA phosphotransferase 1"	NA	NA	NA	NA	TRUE	NA
"107351"	"Kank1"	"KN motif and ankyrin repeat domains 1"	NA	NA	TRUE	NA	NA	TRUE
"107371"	"Exoc6"	"exocyst complex component 6"	NA	NA	NA	NA	TRUE	NA
"107513"	"Ssr1"	"signal sequence receptor, alpha"	NA	TRUE	NA	NA	NA	TRUE
"107515"	"Lgr4"	"leucine-rich repeat-containing G protein-coupled receptor 4"	NA	NA	NA	NA	TRUE	NA
"107522"	"Ece2"	"endothelin converting enzyme 2"	NA	NA	NA	NA	NA	TRUE
"107568"	"Wwp1"	"WW domain containing E3 ubiquitin protein ligase 1"	NA	NA	TRUE	NA	TRUE	NA
"107581"	"Col16a1"	"collagen, type XVI, alpha 1"	NA	TRUE	NA	NA	NA	NA
"107652"	"Uap1"	"UDP-N-acetylglucosamine pyrophosphorylase 1"	NA	TRUE	NA	NA	NA	NA
"107702"	"Rnh1"	"ribonuclease/angiogenin inhibitor 1"	NA	NA	NA	NA	NA	TRUE
"107734"	"Mrpl30"	"mitochondrial ribosomal protein L30"	NA	NA	TRUE	NA	NA	NA
"107765"	"Ankrd1"	"ankyrin repeat domain 1 (cardiac muscle)"	NA	NA	NA	NA	NA	TRUE
"107829"	"Thoc5"	"THO complex 5"	NA	NA	NA	NA	NA	TRUE
"107932"	"Chd4"	"chromodomain helicase DNA binding protein 4"	NA	NA	NA	NA	NA	TRUE
"107995"	"Cdc20"	"cell division cycle 20 homolog (S. cerevisiae)"	NA	NA	NA	NA	NA	TRUE
